Data,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
10/6/2009,Normal,6,21,0,14,4,Zhang (2013)
15/11/2008,Normal,25,25,0,14,1,Zhang (2013)
12/5/2009,Normal,9,17,0,2,3,Zhang (2013)
13/8/2008,Normal,6,8,0,3,2,Zhang (2013)
15/2/2008,Normal,8,41,0,2,23,Zhang (2013)
18/8/2007,Normal,15,41,0,1,9,Zhang (2013)
18/8/2007,Normal,10,44,0,3,14,Zhang (2013)
13/2/2007,Normal,13,42,0,3,16,Zhang (2013)
8/9/2010,Normal,5,47,0,2,17,Zhang (2013)
14/3/2010,Normal,11,30,0,2,11,Zhang (2013)
18/9/2009,Normal,8,39,0,0,3,Zhang (2013)
10/3/2009,Normal,12,38,0,3,11,Zhang (2013)
13/8/2008,Normal,4,7,0,7,1,Zhang (2013)
15/2/2008,Normal,0,10,0,6,1,Zhang (2013)
18/8/2007,Normal,2,4,0,5,1,Zhang (2013)
13/2/2007,Normal,7,3,0,2,1,Zhang (2013)
12/8/2010,Normal,4,5,0,2,1,Zhang (2013)
5/3/2010,Normal,20,6,0,2,0,Zhang (2013)
26/8/2009,Normal,4,10,0,1,0,Zhang (2013)
8/1/2009,Normal,4,12,0,4,2,Zhang (2013)
8/1/2009,Normal,0,6,0,5,0,Zhang (2013)
24/7/2008,Normal,2,6,0,3,0,Zhang (2013)
27/5/2010,Normal,4,10,0,3,0,Zhang (2013)
25/11/2009,Normal,3,0,0,2,0,Zhang (2013)
27/5/2009,Normal,0,16,0,4,2,Zhang (2013)
19/11/2008,Normal,11,5,0,2,1,Zhang (2013)
6/5/2009,Normal,12,2,0,5,3,Zhang (2013)
3/4/2009,Normal,14,11,0,3,1,Zhang (2013)
22/12/2008,Normal,12,2,0,0,0,Zhang (2013)
8/6/2008,Normal,9,1,0,0,0,Zhang (2013)
16/12/2007,Normal,12,2,0,9,2,Zhang (2013)
22/6/2007,Normal,12,5,0,7,1,Zhang (2013)
2/5/2009,Normal,12,7,0,6,1,Zhang (2013)
12/10/2008,Normal,3,1,0,4,1,Zhang (2013)
16/4/2008,Normal,10,6,0,2,1,Zhang (2013)
14/7/2007,Normal,10,17,0,2,0,Zhang (2013)
6/6/2009,Normal,20,8,0,4,2,Zhang (2013)
19/5/2009,Normal,24,10,0,3,1,Zhang (2013)
18/11/2008,Normal,17,10,0,3,1,Zhang (2013)
7/5/2008,Normal,32,12,0,2,2,Zhang (2013)
19/11/2007,Normal,16,9,0,3,0,Zhang (2013)
13/5/2007,Normal,14,8,0,4,3,Zhang (2013)
11/5/2009,Normal,6,10,0,4,3,Zhang (2013)
8/9/2008,Normal,13,13,0,4,3,Zhang (2013)
22/3/2008,Normal,0,13,0,3,2,Zhang (2013)
15/3/2007,Normal,8,12,0,3,3,Zhang (2013)
26/11/2009,Normal,12,2,0,1,1,Zhang (2013)
12/5/2009,Normal,8,42,0,7,19,Zhang (2013)
12/5/2009,Normal,9,39,0,11,15,Zhang (2013)
25/2/2008,Normal,0,26,0,6,9,Zhang (2013)
