Id,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
318,1,38,97,0,9,155,CPFL
319,1,35,66,0,44,106,CPFL
319,1,29,73,0,13,105,CPFL
320,1,0,0,0,27,1,CPFL
320,1,5,0,0,30,2,CPFL
321,1,4,6,0,15,0,CPFL
321,1,0,5,0,2,0,CPFL
322,1,0,100,0,4,141,CPFL
322,1,10,128,0,6,149,CPFL
323,1,4,125,0,4,153,CPFL
323,1,4,114,0,3,149,CPFL
324,1,0,76,0,4,175,CPFL
324,1,0,98,0,1,135,CPFL
325,1,0,103,0,0,132,CPFL
325,1,6,92,0,3,147,CPFL
326,1,0,24,0,0,18,CPFL
326,1,4,20,0,4,12,CPFL
327,1,5,31,0,4,8,CPFL
327,1,0,25,0,4,4,CPFL
328,1,0,10,0,1,2,CPFL
328,1,12,25,0,1,3,CPFL
329,1,34,151,0,3,417,CPFL
329,1,0,131,0,4,449,CPFL
330,1,26,134,0,10,313,CPFL
330,1,25,136,0,9,303,CPFL
331,1,0,8,0,53,10,CPFL
331,1,0,5,2,53,8,CPFL
332,1,0,3,0,32,2,CPFL
332,1,0,3,0,38,8,CPFL
333,1,0,20,0,2,4,CPFL
333,1,5,10,0,2,4,CPFL
334,1,0,8,0,2,4,CPFL
334,1,0,16,0,0,0,CPFL
335,1,0,16,0,0,25,CPFL
335,1,22,93,0,7,239,CPFL
336,1,0,0,0,34,1,CPFL
336,1,47,1,0,25,1,CPFL
337,1,53,0,0,27,2,CPFL
337,1,17,0,0,28,2,CPFL
338,1,11,1,0,36,5,CPFL
338,1,5,2,0,27,5,CPFL
339,1,19,2,0,25,4,CPFL
339,1,45,2,0,7,1,CPFL
340,1,0,0,0,43,0,CPFL
340,1,6,1,0,53,1,CPFL
341,1,7,1,0,52,1,CPFL
341,1,6,3,0,58,0,CPFL
342,1,0,3,0,51,1,CPFL
342,1,0,2,0,48,0,CPFL
343,1,0,2,0,49,0,CPFL
343,1,0,2,0,42,1,CPFL
344,1,0,2,0,42,1,CPFL
344,1,0,8,0,19,0,CPFL
345,1,4,2,0,65,4,CPFL
345,1,9,3,0,51,3,CPFL
346,1,5,1,0,54,2,CPFL
346,1,7,0,0,57,2,CPFL
347,1,0,1,0,46,1,CPFL
347,1,0,1,0,37,0,CPFL
348,1,0,2,0,19,0,CPFL
348,1,0,6,0,46,1,CPFL
349,1,16,25,0,7,15,CPFL
349,1,18,41,0,8,16,CPFL
350,1,13,37,0,3,4,CPFL
350,1,8,26,0,1,8,CPFL
351,1,71,30,0,2,10,CPFL
351,1,87,33,0,7,15,CPFL
352,1,2,16,0,6,145,CPFL
352,1,5,146,0,8,151,CPFL
353,1,2,133,0,5,133,CPFL
353,1,0,139,0,7,202,CPFL
354,1,9,0,0,77,3,CPFL
354,1,7,2,0,72,3,CPFL
355,1,0,6,0,91,1,CPFL
355,1,0,13,0,118,3,CPFL
356,1,6,9,0,32,3,CPFL
356,1,4,6,0,20,0,CPFL
357,1,61,127,0,7,204,CPFL
357,1,281,137,0,7,303,CPFL
358,1,52,121,0,4,240,CPFL
358,1,210,118,0,5,220,CPFL
359,1,2,105,0,4,286,CPFL
359,1,56,112,0,1,253,CPFL
360,1,8,156,0,6,234,CPFL
360,1,0,136,0,7,301,CPFL
361,1,0,137,0,1,270,CPFL
361,1,0,143,0,7,263,CPFL
362,1,36,140,0,12,134,CPFL
362,1,34,137,0,12,148,CPFL
363,1,9,35,0,15,3,CPFL
363,1,4,18,0,7,2,CPFL
364,1,15,3,0,3,1,CPFL
364,1,23,38,0,18,9,CPFL
365,1,25,160,0,5,28,CPFL
365,1,0,134,0,5,28,CPFL
366,1,7,122,0,9,35,CPFL
366,1,10,141,0,9,32,CPFL
367,1,0,125,0,9,36,CPFL
367,1,0,103,0,7,33,CPFL
368,1,0,93,0,7,5,CPFL
368,1,13,100,0,9,25,CPFL
369,1,4,4,0,25,9,CPFL
369,1,3,6,0,15,8,CPFL
370,1,0,5,0,4,5,CPFL
370,1,0,6,0,2,11,CPFL
371,1,31,63,0,3,11,CPFL
371,1,45,48,0,4,4,CPFL
372,1,22,66,0,9,9,CPFL
372,1,20,48,0,9,9,CPFL
373,1,8,64,0,7,16,CPFL
373,1,23,69,0,8,13,CPFL
374,1,18,194,0,6,315,CPFL
374,1,59,196,0,5,304,CPFL
375,1,5,91,0,3,29,CPFL
375,1,8,71,0,3,22,CPFL
376,1,0,83,0,1,31,CPFL
376,1,0,64,0,1,21,CPFL
377,1,0,0,0,0,8,CPFL
377,1,12,77,0,2,25,CPFL
378,1,0,48,0,0,8,CPFL
378,1,0,44,0,0,6,CPFL
379,1,0,26,0,0,1,CPFL
379,1,4,37,0,0,9,CPFL
380,1,2,0,0,1,0,CPFL
380,1,35,7,0,22,3,CPFL
381,1,0,3,0,29,9,CPFL
381,1,0,1,0,27,6,CPFL
382,1,0,1,0,27,6,CPFL
382,1,5,4,0,27,2,CPFL
383,1,0,15,0,1,4,CPFL
383,1,0,10,0,1,1,CPFL
384,1,9,17,0,3,5,CPFL
384,1,9,19,0,2,5,CPFL
385,1,9,19,0,2,5,CPFL
385,1,3,10,0,2,1,CPFL
386,1,15,19,0,1,7,CPFL
386,1,15,18,0,3,1,CPFL
